year_of_assessment,resident_type,chargeable_income_group,no_of_companies,chargeable_income,net_tax_assessed
2017,Tax Resident,"10,001 - 20,000",7369,108,10
2017,Tax Resident,"20,001 - 30,000",5265,130,12
2017,Tax Resident,"30,001 - 60,000",12420,505,53
2017,Tax Resident,"60,001 - 100,000",6963,545,49
2017,Tax Resident,"100,001 - 300,000",10084,1714,154
2017,Tax Resident,"300,001 - 500,000",3350,1295,136
2017,Tax Resident,"500,001 - 1,000,000",3326,2360,315
2017,Tax Resident,"1,000,001 - 3,000,000",3371,5753,872
2017,Tax Resident,"3,000,001 - 5,000,000",976,3802,594
2017,Tax Resident,"5,000,001 & above",2145,95592,11082
2018,Non-Tax Resident,"10,000 & below",387,2,0
2018,Non-Tax Resident,"10,001 - 20,000",276,4,0
2018,Non-Tax Resident,"20,001 - 30,000",246,6,1
2018,Non-Tax Resident,"30,001 - 60,000",307,13,1
2018,Non-Tax Resident,"60,001 - 100,000",188,14,2
2018,Non-Tax Resident,"100,001 - 300,000",201,34,4
2018,Non-Tax Resident,"300,001 - 500,000",69,27,4
2018,Non-Tax Resident,"500,001 - 1,000,000",115,80,12
2018,Non-Tax Resident,"1,000,001 - 3,000,000",95,163,26
2018,Non-Tax Resident,"3,000,001 - 5,000,000",24,91,14
2018,Non-Tax Resident,"5,000,001 & above",151,9838,1208
2018,Tax Resident,"10,000 & below",20566,66,7
2018,Tax Resident,"10,001 - 20,000",7775,114,12
2018,Tax Resident,"20,001 - 30,000",8048,212,27
2018,Tax Resident,"30,001 - 60,000",9574,415,43
2018,Tax Resident,"60,001 - 100,000",6988,548,57
2018,Tax Resident,"100,001 - 300,000",9935,1668,180
2018,Tax Resident,"300,001 - 500,000",3036,1180,154
2018,Tax Resident,"500,001 - 1,000,000",3271,2312,339
2018,Tax Resident,"1,000,001 - 3,000,000",3347,5764,909
2018,Tax Resident,"3,000,001 - 5,000,000",978,3785,598
2018,Tax Resident,"5,000,001 & above",2220,124046,12325
2019,Non-Tax Resident,"10,000 & below",422,2,0
2019,Non-Tax Resident,"10,001 - 20,000",265,4,1
2019,Non-Tax Resident,"20,001 - 30,000",206,5,1
2019,Non-Tax Resident,"30,001 - 60,000",323,14,2
2019,Non-Tax Resident,"60,001 - 100,000",192,15,2
2019,Non-Tax Resident,"100,001 - 300,000",200,35,5
2019,Non-Tax Resident,"300,001 - 500,000",66,26,4
2019,Non-Tax Resident,"500,001 - 1,000,000",105,74,11
2019,Non-Tax Resident,"1,000,001 - 3,000,000",90,160,26
2019,Non-Tax Resident,"3,000,001 - 5,000,000",37,145,24
2019,Non-Tax Resident,"5,000,001 & above",144,13306,1385
2019,Tax Resident,"10,000 & below",21814,70,10
2019,Tax Resident,"10,001 - 20,000",8003,117,16
2019,Tax Resident,"20,001 - 30,000",5433,134,18
2019,Tax Resident,"30,001 - 60,000",9866,427,59
2019,Tax Resident,"60,001 - 100,000",7144,559,76
2019,Tax Resident,"100,001 - 300,000",10277,1732,237
2019,Tax Resident,"300,001 - 500,000",3191,1243,178
2019,Tax Resident,"500,001 - 1,000,000",3546,2524,389
2019,Tax Resident,"1,000,001 - 3,000,000",3764,6477,1037
2019,Tax Resident,"3,000,001 - 5,000,000",1111,4304,692
2019,Tax Resident,"5,000,001 & above",2338,132433,12899
